Destination,Start date,lat,lon,maxtemp_c,mintemp_c,avgtemp_c,totalprecip_mm,totalsnow_cm,avghumidity,maxwind_kph,avgvis_km,condition_text,condition_icon_url,icon_location
"Sintra, Portugal",02/03/2024,38.8,-9.3833,17.01,5.03,13.41,33.11,1.82,97.28,6.16,8.34,Patchy light rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/386.png,icons/386.png
"Ljubljana, Slovenia",06/02/2024,46.0553,14.5144,38.21,24.75,25.96,33.71,7.11,80.27,21.67,4.3,Patchy light drizzle,http://cdn.weatherapi.com/weather/64x64/day/263.png,icons/263.png
"Quebec City, Canada",05/03/2024,50.1833,-66.6333,25.98,24.63,25.28,22.81,9.01,68.73,11.39,4.95,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Palmerston North, New Zealand",10/28/2024,-40.35,175.6167,14.8,7.5,10.4,6.8,0.0,87,27.0,8.1,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Brisbane, Australia",04/03/2024,-27.5,153.0167,37.14,9.37,30.04,46.67,3.45,28.01,8.92,5.47,Freezing fog,http://cdn.weatherapi.com/weather/64x64/day/260.png,icons/260.png
"Santorini, Greece",04/03/2024,43.2554,-77.7299,22.6,0.12,0.84,36.87,4.01,23.57,35.21,4.63,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Invercargill, New Zealand",04/04/2024,-46.4,168.35,13.2,9.1,10.8,4.86,0.0,73,27.7,8.3,Light drizzle,http://cdn.weatherapi.com/weather/64x64/day/266.png,icons/266.png
"Berlin, Germany",04/03/2024,52.5167,13.4,30.01,16.79,19.19,45.28,7.47,22.97,50.44,6.42,Light sleet,http://cdn.weatherapi.com/weather/64x64/day/317.png,icons/317.png
"San Pedro Sula, Honduras",02/03/2024,15.5,-88.0333,22.31,21.79,22.22,50.79,7.52,54.39,4.25,6.19,Light freezing rain,http://cdn.weatherapi.com/weather/64x64/day/311.png,icons/311.png
"San Salvador, El Salvador",10/17/2024,13.7086,-89.2031,29.1,19.6,23.3,8.5,0.0,86,4.7,6.5,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Mexico City, Mexico",05/22/2024,19.4285,-99.1277,30.2,19.8,24.1,16.0,0.0,44,21.6,9.7,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Kuala Lumpur, Malaysia",10/03/2024,3.1667,101.7,30.3,22.7,25.5,10.93,0.0,84,5.4,9.5,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Dar es Salaam, Tanzania",06/01/2024,-6.8,39.2833,31.4,21.9,25.7,0.34,0.0,79,16.2,8.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
